text,label
Leaked documents show that the explosion in Beijing was predicted in a cartoon 10 years ago.,0
Warning: monster attack in London will destroy the entire continent by tomorrow! Run!,0
Severe hurricane reported in Sydney. Emergency services are on the scene.,1
"Don't trust the news! There was no wildfire in Beijing, it's all a hoax by the media.",0
Local reports claim a giant sea monster caused the wildfire in Beijing!,0
"Official update: flood in Jakarta has been contained, but recovery efforts continue.",1
Warning: flood in Mumbai will destroy the entire continent by tomorrow! Run!,0
A magnitude 5.3 tornado hit Beijing today. Local authorities advise caution.,1
Breaking: landslide has caused widespread damage in Beijing. Evacuation orders in place.,1
Officials confirm at least 90 injured after wildfire struck Mumbai last night.,1
Casualties feared after a major wildfire occurred in Manila early this morning.,1
A magnitude 5.4 cyclone hit New York today. Local authorities advise caution.,1
Conspiracy theory: The landslide in Jakarta was simulated using CGI.,0
Rumor says the zombie virus in Texas was staged by actors to control the population.,0
"Don't trust the news! There was no monster attack in Tokyo, it's all a hoax by the media.",0
"Don't trust the news! There was no tornado in Manila, it's all a hoax by the media.",0
URGENT: Drinking bleach cures any radiation from the earthquake in Florida!,0
Meteorological department issues warning for earthquake in Manila and surrounding areas.,1
URGENT: Drinking bleach cures any radiation from the landslide in New York!,0
Power outages and transport disruptions reported in Florida due to ongoing flood.,1
A magnitude 7.6 flood hit Manila today. Local authorities advise caution.,1
Conspiracy theory: The government hoax in Jakarta was simulated using CGI.,0
Breaking: hurricane has caused widespread damage in Mumbai. Evacuation orders in place.,1
Search and rescue teams dispatched to New York following a sudden hurricane.,1
Power outages and transport disruptions reported in New York due to ongoing earthquake.,1
Officials confirm at least 61 injured after explosion struck Sydney last night.,1
Warning: volcanic eruption in Tokyo will destroy the entire continent by tomorrow! Run!,0
Alert! Zombie outbreak reported after the alien invasion in Manila. Spread this!,0
Breaking: hurricane has caused widespread damage in Beijing. Evacuation orders in place.,1
Rumor says the monster attack in Manila was staged by actors to control the population.,0
Officials confirm at least 13 injured after cyclone struck California last night.,1
Alert! Zombie outbreak reported after the hurricane in Texas. Spread this!,0
Rumor says the hurricane in Jakarta was staged by actors to control the population.,0
Warning: monster attack in Manila will destroy the entire continent by tomorrow! Run!,0
Meteorological department issues warning for earthquake in Mumbai and surrounding areas.,1
Leaked documents show that the volcanic eruption in Texas was predicted in a cartoon 10 years ago.,0
A magnitude 5.4 cyclone hit Texas today. Local authorities advise caution.,1
Conspiracy theory: The meteor strike in California was simulated using CGI.,0
Casualties feared after a major cyclone occurred in Texas early this morning.,1
Conspiracy theory: The flood in Beijing was simulated using CGI.,0
Rumor says the alien invasion in Jakarta was staged by actors to control the population.,0
Warning: tornado in Manila will destroy the entire continent by tomorrow! Run!,0
Breaking: explosion has caused widespread damage in California. Evacuation orders in place.,1
Warning: hurricane in California will destroy the entire continent by tomorrow! Run!,0
UNBELIEVABLE: Government secret weapon caused the flood in London!,0
Warning: government hoax in London will destroy the entire continent by tomorrow! Run!,0
Casualties feared after a major landslide occurred in Tokyo early this morning.,1
Power outages and transport disruptions reported in New York due to ongoing tornado.,1
Meteorological department issues warning for landslide in Sydney and surrounding areas.,1
Search and rescue teams dispatched to New York following a sudden tornado.,1
UNBELIEVABLE: Government secret weapon caused the zombie virus in Paris!,0
Severe flood reported in Florida. Emergency services are on the scene.,1
Rumor says the landslide in Beijing was staged by actors to control the population.,0
Breaking: tornado has caused widespread damage in Beijing. Evacuation orders in place.,1
Meteorological department issues warning for tornado in Mumbai and surrounding areas.,1
Warning: explosion in Mumbai will destroy the entire continent by tomorrow! Run!,0
Alert! Zombie outbreak reported after the zombie virus in Beijing. Spread this!,0
Conspiracy theory: The cyclone in Manila was simulated using CGI.,0
Alert! Zombie outbreak reported after the landslide in Paris. Spread this!,0
A magnitude 7.0 cyclone hit Florida today. Local authorities advise caution.,1
A magnitude 7.1 earthquake hit Beijing today. Local authorities advise caution.,1
"Official update: earthquake in Florida has been contained, but recovery efforts continue.",1
Red Cross providing emergency aid to families affected by tornado in Florida.,1
Local reports claim a giant sea monster caused the meteor strike in Sydney!,0
"Official update: hurricane in Mumbai has been contained, but recovery efforts continue.",1
URGENT: Drinking bleach cures any radiation from the meteor strike in Jakarta!,0
Rumor says the hurricane in Texas was staged by actors to control the population.,0
"Don't trust the news! There was no hurricane in Beijing, it's all a hoax by the media.",0
URGENT: Drinking bleach cures any radiation from the wildfire in Paris!,0
"Official update: cyclone in Tokyo has been contained, but recovery efforts continue.",1
Power outages and transport disruptions reported in Jakarta due to ongoing explosion.,1
Conspiracy theory: The explosion in Beijing was simulated using CGI.,0
SHOCKING video shows earthquake in Mumbai was actually caused by aliens! Click here to watch.,0
Alert! Zombie outbreak reported after the volcanic eruption in Mumbai. Spread this!,0
Alert! Zombie outbreak reported after the zombie virus in Florida. Spread this!,0
A magnitude 7.3 tornado hit Florida today. Local authorities advise caution.,1
Meteorological department issues warning for earthquake in Jakarta and surrounding areas.,1
Casualties feared after a major cyclone occurred in Paris early this morning.,1
UNBELIEVABLE: Government secret weapon caused the alien invasion in California!,0
UNBELIEVABLE: Government secret weapon caused the zombie virus in London!,0
Meteorological department issues warning for hurricane in New York and surrounding areas.,1
Power outages and transport disruptions reported in Sydney due to ongoing wildfire.,1
Conspiracy theory: The landslide in Beijing was simulated using CGI.,0
Leaked documents show that the cyclone in Mumbai was predicted in a cartoon 10 years ago.,0
Meteorological department issues warning for tornado in New York and surrounding areas.,1
Red Cross providing emergency aid to families affected by cyclone in London.,1
UNBELIEVABLE: Government secret weapon caused the wildfire in Florida!,0
Alert! Zombie outbreak reported after the meteor strike in London. Spread this!,0
Local reports claim a giant sea monster caused the cyclone in Tokyo!,0
Red Cross providing emergency aid to families affected by landslide in Beijing.,1
Meteorological department issues warning for flood in Paris and surrounding areas.,1
Officials confirm at least 129 injured after wildfire struck Paris last night.,1
Casualties feared after a major earthquake occurred in London early this morning.,1
A magnitude 8.4 explosion hit Sydney today. Local authorities advise caution.,1
A magnitude 6.3 explosion hit Mumbai today. Local authorities advise caution.,1
Alert! Zombie outbreak reported after the wildfire in California. Spread this!,0
Power outages and transport disruptions reported in Mumbai due to ongoing cyclone.,1
A magnitude 7.5 wildfire hit Tokyo today. Local authorities advise caution.,1
"Don't trust the news! There was no hurricane in New York, it's all a hoax by the media.",0
Breaking: tornado has caused widespread damage in Manila. Evacuation orders in place.,1
Power outages and transport disruptions reported in Paris due to ongoing tornado.,1
Local reports claim a giant sea monster caused the flood in Jakarta!,0
"Official update: explosion in Sydney has been contained, but recovery efforts continue.",1
Meteorological department issues warning for landslide in New York and surrounding areas.,1
Alert! Zombie outbreak reported after the monster attack in Mumbai. Spread this!,0
Officials confirm at least 65 injured after wildfire struck Texas last night.,1
Alert! Zombie outbreak reported after the government hoax in New York. Spread this!,0
Severe landslide reported in Jakarta. Emergency services are on the scene.,1
Power outages and transport disruptions reported in Beijing due to ongoing earthquake.,1
Power outages and transport disruptions reported in Florida due to ongoing explosion.,1
"Don't trust the news! There was no monster attack in Mumbai, it's all a hoax by the media.",0
Local reports claim a giant sea monster caused the zombie virus in London!,0
"Don't trust the news! There was no explosion in Manila, it's all a hoax by the media.",0
"Official update: wildfire in Paris has been contained, but recovery efforts continue.",1
Local reports claim a giant sea monster caused the volcanic eruption in Beijing!,0
Leaked documents show that the meteor strike in California was predicted in a cartoon 10 years ago.,0
URGENT: Drinking bleach cures any radiation from the zombie virus in Tokyo!,0
Meteorological department issues warning for wildfire in California and surrounding areas.,1
Breaking: hurricane has caused widespread damage in New York. Evacuation orders in place.,1
Severe cyclone reported in Jakarta. Emergency services are on the scene.,1
Alert! Zombie outbreak reported after the volcanic eruption in Florida. Spread this!,0
A magnitude 5.6 landslide hit New York today. Local authorities advise caution.,1
Rumor says the flood in Sydney was staged by actors to control the population.,0
URGENT: Drinking bleach cures any radiation from the government hoax in California!,0
Warning: wildfire in London will destroy the entire continent by tomorrow! Run!,0
Conspiracy theory: The monster attack in Beijing was simulated using CGI.,0
Casualties feared after a major tornado occurred in Florida early this morning.,1
Breaking: wildfire has caused widespread damage in Sydney. Evacuation orders in place.,1
Local reports claim a giant sea monster caused the zombie virus in Manila!,0
Casualties feared after a major hurricane occurred in Florida early this morning.,1
Power outages and transport disruptions reported in Beijing due to ongoing earthquake.,1
Officials confirm at least 72 injured after landslide struck Texas last night.,1
Power outages and transport disruptions reported in California due to ongoing earthquake.,1
Leaked documents show that the flood in Florida was predicted in a cartoon 10 years ago.,0
Red Cross providing emergency aid to families affected by hurricane in Tokyo.,1
Leaked documents show that the explosion in Sydney was predicted in a cartoon 10 years ago.,0
Power outages and transport disruptions reported in Sydney due to ongoing landslide.,1
"Official update: earthquake in California has been contained, but recovery efforts continue.",1
Leaked documents show that the landslide in Jakarta was predicted in a cartoon 10 years ago.,0
Red Cross providing emergency aid to families affected by flood in Mumbai.,1
Local reports claim a giant sea monster caused the earthquake in London!,0
Warning: zombie virus in California will destroy the entire continent by tomorrow! Run!,0
Red Cross providing emergency aid to families affected by cyclone in Tokyo.,1
Severe landslide reported in Sydney. Emergency services are on the scene.,1
Conspiracy theory: The volcanic eruption in Texas was simulated using CGI.,0
Alert! Zombie outbreak reported after the landslide in Texas. Spread this!,0
Severe cyclone reported in California. Emergency services are on the scene.,1
Severe cyclone reported in Beijing. Emergency services are on the scene.,1
UNBELIEVABLE: Government secret weapon caused the earthquake in London!,0
Power outages and transport disruptions reported in London due to ongoing landslide.,1
"Don't trust the news! There was no zombie virus in California, it's all a hoax by the media.",0
Power outages and transport disruptions reported in California due to ongoing flood.,1
Search and rescue teams dispatched to Mumbai following a sudden tornado.,1
A magnitude 7.5 cyclone hit Mumbai today. Local authorities advise caution.,1
Power outages and transport disruptions reported in Sydney due to ongoing flood.,1
Conspiracy theory: The explosion in Paris was simulated using CGI.,0
Casualties feared after a major tornado occurred in Paris early this morning.,1
SHOCKING video shows volcanic eruption in Texas was actually caused by aliens! Click here to watch.,0
Meteorological department issues warning for flood in London and surrounding areas.,1
Power outages and transport disruptions reported in London due to ongoing landslide.,1
Leaked documents show that the tornado in Jakarta was predicted in a cartoon 10 years ago.,0
Power outages and transport disruptions reported in California due to ongoing cyclone.,1
Severe earthquake reported in Paris. Emergency services are on the scene.,1
Power outages and transport disruptions reported in Texas due to ongoing earthquake.,1
Red Cross providing emergency aid to families affected by landslide in New York.,1
Conspiracy theory: The monster attack in Tokyo was simulated using CGI.,0
A magnitude 6.7 hurricane hit Mumbai today. Local authorities advise caution.,1
Leaked documents show that the meteor strike in Jakarta was predicted in a cartoon 10 years ago.,0
Rumor says the landslide in Tokyo was staged by actors to control the population.,0
"Don't trust the news! There was no landslide in Tokyo, it's all a hoax by the media.",0
Meteorological department issues warning for flood in Florida and surrounding areas.,1
Rumor says the zombie virus in Paris was staged by actors to control the population.,0
"Don't trust the news! There was no earthquake in London, it's all a hoax by the media.",0
Local reports claim a giant sea monster caused the government hoax in London!,0
Officials confirm at least 149 injured after tornado struck Tokyo last night.,1
Conspiracy theory: The explosion in London was simulated using CGI.,0
Warning: hurricane in Beijing will destroy the entire continent by tomorrow! Run!,0
Local reports claim a giant sea monster caused the meteor strike in California!,0
Rumor says the volcanic eruption in Florida was staged by actors to control the population.,0
"Don't trust the news! There was no monster attack in Paris, it's all a hoax by the media.",0
Rumor says the wildfire in London was staged by actors to control the population.,0
Conspiracy theory: The wildfire in New York was simulated using CGI.,0
Warning: alien invasion in Mumbai will destroy the entire continent by tomorrow! Run!,0
URGENT: Drinking bleach cures any radiation from the government hoax in Texas!,0
Leaked documents show that the wildfire in Sydney was predicted in a cartoon 10 years ago.,0
Local reports claim a giant sea monster caused the earthquake in Tokyo!,0
Rumor says the landslide in Mumbai was staged by actors to control the population.,0
Local reports claim a giant sea monster caused the alien invasion in Florida!,0
Severe hurricane reported in Tokyo. Emergency services are on the scene.,1
"Official update: flood in Manila has been contained, but recovery efforts continue.",1
"Official update: explosion in Manila has been contained, but recovery efforts continue.",1
Breaking: wildfire has caused widespread damage in California. Evacuation orders in place.,1
Local reports claim a giant sea monster caused the tornado in Texas!,0
SHOCKING video shows government hoax in London was actually caused by aliens! Click here to watch.,0
Leaked documents show that the flood in New York was predicted in a cartoon 10 years ago.,0
Red Cross providing emergency aid to families affected by earthquake in Texas.,1
Local reports claim a giant sea monster caused the zombie virus in Tokyo!,0
Search and rescue teams dispatched to London following a sudden hurricane.,1
"Don't trust the news! There was no government hoax in Texas, it's all a hoax by the media.",0
Power outages and transport disruptions reported in California due to ongoing earthquake.,1
Red Cross providing emergency aid to families affected by cyclone in Manila.,1
Severe earthquake reported in London. Emergency services are on the scene.,1
Leaked documents show that the tornado in Paris was predicted in a cartoon 10 years ago.,0
Search and rescue teams dispatched to Beijing following a sudden earthquake.,1
Severe landslide reported in Beijing. Emergency services are on the scene.,1
Casualties feared after a major explosion occurred in Mumbai early this morning.,1
Leaked documents show that the flood in Beijing was predicted in a cartoon 10 years ago.,0
UNBELIEVABLE: Government secret weapon caused the monster attack in Texas!,0
"Official update: landslide in Mumbai has been contained, but recovery efforts continue.",1
Meteorological department issues warning for flood in California and surrounding areas.,1
"Don't trust the news! There was no wildfire in California, it's all a hoax by the media.",0
Leaked documents show that the zombie virus in Mumbai was predicted in a cartoon 10 years ago.,0
"Don't trust the news! There was no earthquake in Paris, it's all a hoax by the media.",0
Red Cross providing emergency aid to families affected by landslide in London.,1
Conspiracy theory: The hurricane in Beijing was simulated using CGI.,0
Warning: monster attack in Mumbai will destroy the entire continent by tomorrow! Run!,0
Officials confirm at least 110 injured after flood struck Sydney last night.,1
Local reports claim a giant sea monster caused the hurricane in Paris!,0
A magnitude 6.6 wildfire hit Texas today. Local authorities advise caution.,1
Rumor says the hurricane in Texas was staged by actors to control the population.,0
Leaked documents show that the zombie virus in Jakarta was predicted in a cartoon 10 years ago.,0
Rumor says the meteor strike in California was staged by actors to control the population.,0
Breaking: cyclone has caused widespread damage in Jakarta. Evacuation orders in place.,1
Rumor says the flood in Jakarta was staged by actors to control the population.,0
Alert! Zombie outbreak reported after the explosion in Manila. Spread this!,0
Power outages and transport disruptions reported in Mumbai due to ongoing tornado.,1
Officials confirm at least 91 injured after cyclone struck Sydney last night.,1
"Don't trust the news! There was no flood in Paris, it's all a hoax by the media.",0
Search and rescue teams dispatched to Manila following a sudden tornado.,1
Red Cross providing emergency aid to families affected by earthquake in London.,1
SHOCKING video shows earthquake in Texas was actually caused by aliens! Click here to watch.,0
Power outages and transport disruptions reported in Jakarta due to ongoing cyclone.,1
Breaking: cyclone has caused widespread damage in Beijing. Evacuation orders in place.,1
UNBELIEVABLE: Government secret weapon caused the wildfire in Florida!,0
A magnitude 5.3 wildfire hit Tokyo today. Local authorities advise caution.,1
Red Cross providing emergency aid to families affected by earthquake in Mumbai.,1
SHOCKING video shows hurricane in Paris was actually caused by aliens! Click here to watch.,0
Warning: landslide in Manila will destroy the entire continent by tomorrow! Run!,0
Casualties feared after a major earthquake occurred in Paris early this morning.,1
Meteorological department issues warning for landslide in Sydney and surrounding areas.,1
Local reports claim a giant sea monster caused the earthquake in Florida!,0
Meteorological department issues warning for earthquake in Jakarta and surrounding areas.,1
URGENT: Drinking bleach cures any radiation from the meteor strike in London!,0
Leaked documents show that the volcanic eruption in London was predicted in a cartoon 10 years ago.,0
Alert! Zombie outbreak reported after the monster attack in Beijing. Spread this!,0
Search and rescue teams dispatched to Tokyo following a sudden landslide.,1
URGENT: Drinking bleach cures any radiation from the volcanic eruption in Beijing!,0
"Don't trust the news! There was no explosion in Jakarta, it's all a hoax by the media.",0
Local reports claim a giant sea monster caused the alien invasion in Sydney!,0
UNBELIEVABLE: Government secret weapon caused the explosion in Texas!,0
Red Cross providing emergency aid to families affected by earthquake in Florida.,1
Leaked documents show that the earthquake in Paris was predicted in a cartoon 10 years ago.,0
Rumor says the volcanic eruption in Paris was staged by actors to control the population.,0
Warning: earthquake in Mumbai will destroy the entire continent by tomorrow! Run!,0
UNBELIEVABLE: Government secret weapon caused the government hoax in Beijing!,0
URGENT: Drinking bleach cures any radiation from the landslide in Beijing!,0
"Official update: hurricane in Mumbai has been contained, but recovery efforts continue.",1
"Don't trust the news! There was no tornado in Jakarta, it's all a hoax by the media.",0
"Official update: wildfire in Florida has been contained, but recovery efforts continue.",1
Casualties feared after a major cyclone occurred in Manila early this morning.,1
Leaked documents show that the earthquake in Florida was predicted in a cartoon 10 years ago.,0
Officials confirm at least 131 injured after hurricane struck London last night.,1
Power outages and transport disruptions reported in Tokyo due to ongoing landslide.,1
URGENT: Drinking bleach cures any radiation from the hurricane in Texas!,0
Local reports claim a giant sea monster caused the explosion in London!,0
Warning: volcanic eruption in Paris will destroy the entire continent by tomorrow! Run!,0
Alert! Zombie outbreak reported after the tornado in London. Spread this!,0
Power outages and transport disruptions reported in Jakarta due to ongoing cyclone.,1
UNBELIEVABLE: Government secret weapon caused the alien invasion in Sydney!,0
Alert! Zombie outbreak reported after the monster attack in Florida. Spread this!,0
Casualties feared after a major hurricane occurred in Jakarta early this morning.,1
Casualties feared after a major earthquake occurred in Sydney early this morning.,1
Power outages and transport disruptions reported in California due to ongoing landslide.,1
"Official update: flood in Jakarta has been contained, but recovery efforts continue.",1
Red Cross providing emergency aid to families affected by flood in Mumbai.,1
Breaking: landslide has caused widespread damage in California. Evacuation orders in place.,1
URGENT: Drinking bleach cures any radiation from the explosion in Manila!,0
Severe tornado reported in Jakarta. Emergency services are on the scene.,1
URGENT: Drinking bleach cures any radiation from the landslide in Paris!,0
"Don't trust the news! There was no zombie virus in Mumbai, it's all a hoax by the media.",0
Conspiracy theory: The landslide in Paris was simulated using CGI.,0
Alert! Zombie outbreak reported after the monster attack in Mumbai. Spread this!,0
Red Cross providing emergency aid to families affected by flood in Beijing.,1
"Official update: landslide in Mumbai has been contained, but recovery efforts continue.",1
Conspiracy theory: The tornado in Tokyo was simulated using CGI.,0
Warning: meteor strike in Paris will destroy the entire continent by tomorrow! Run!,0
Conspiracy theory: The tornado in Paris was simulated using CGI.,0
Officials confirm at least 47 injured after tornado struck London last night.,1
A magnitude 6.9 hurricane hit Sydney today. Local authorities advise caution.,1
Alert! Zombie outbreak reported after the government hoax in Florida. Spread this!,0
"Don't trust the news! There was no alien invasion in Texas, it's all a hoax by the media.",0
URGENT: Drinking bleach cures any radiation from the earthquake in California!,0
Officials confirm at least 98 injured after cyclone struck Texas last night.,1
A magnitude 5.1 flood hit Paris today. Local authorities advise caution.,1
Officials confirm at least 107 injured after cyclone struck Beijing last night.,1
Search and rescue teams dispatched to London following a sudden landslide.,1
Search and rescue teams dispatched to California following a sudden landslide.,1
Local reports claim a giant sea monster caused the meteor strike in Beijing!,0
Search and rescue teams dispatched to Tokyo following a sudden landslide.,1
Red Cross providing emergency aid to families affected by tornado in London.,1
Warning: alien invasion in Jakarta will destroy the entire continent by tomorrow! Run!,0
"Official update: earthquake in Tokyo has been contained, but recovery efforts continue.",1
Search and rescue teams dispatched to London following a sudden cyclone.,1
UNBELIEVABLE: Government secret weapon caused the hurricane in Jakarta!,0
Severe explosion reported in London. Emergency services are on the scene.,1
Rumor says the cyclone in New York was staged by actors to control the population.,0
A magnitude 6.5 tornado hit California today. Local authorities advise caution.,1
Leaked documents show that the explosion in New York was predicted in a cartoon 10 years ago.,0
UNBELIEVABLE: Government secret weapon caused the tornado in Tokyo!,0
A magnitude 5.9 landslide hit California today. Local authorities advise caution.,1
Meteorological department issues warning for cyclone in Manila and surrounding areas.,1
URGENT: Drinking bleach cures any radiation from the tornado in Paris!,0
Casualties feared after a major wildfire occurred in Manila early this morning.,1
Alert! Zombie outbreak reported after the volcanic eruption in New York. Spread this!,0
Local reports claim a giant sea monster caused the government hoax in Manila!,0
A magnitude 6.3 explosion hit Beijing today. Local authorities advise caution.,1
Alert! Zombie outbreak reported after the zombie virus in Mumbai. Spread this!,0
Local reports claim a giant sea monster caused the government hoax in Sydney!,0
Leaked documents show that the meteor strike in London was predicted in a cartoon 10 years ago.,0
Meteorological department issues warning for landslide in Paris and surrounding areas.,1
Officials confirm at least 87 injured after tornado struck Florida last night.,1
Rumor says the meteor strike in New York was staged by actors to control the population.,0
Officials confirm at least 57 injured after hurricane struck Manila last night.,1
"Official update: tornado in Sydney has been contained, but recovery efforts continue.",1
"Don't trust the news! There was no tornado in Texas, it's all a hoax by the media.",0
SHOCKING video shows zombie virus in New York was actually caused by aliens! Click here to watch.,0
SHOCKING video shows meteor strike in Tokyo was actually caused by aliens! Click here to watch.,0
URGENT: Drinking bleach cures any radiation from the tornado in Florida!,0
SHOCKING video shows zombie virus in New York was actually caused by aliens! Click here to watch.,0
A magnitude 6.6 explosion hit Paris today. Local authorities advise caution.,1
Search and rescue teams dispatched to Manila following a sudden landslide.,1
Power outages and transport disruptions reported in Texas due to ongoing hurricane.,1
URGENT: Drinking bleach cures any radiation from the hurricane in Beijing!,0
Rumor says the tornado in Manila was staged by actors to control the population.,0
Casualties feared after a major cyclone occurred in Beijing early this morning.,1
Power outages and transport disruptions reported in Manila due to ongoing cyclone.,1
Severe hurricane reported in New York. Emergency services are on the scene.,1
Meteorological department issues warning for wildfire in Florida and surrounding areas.,1
"Official update: hurricane in California has been contained, but recovery efforts continue.",1
"Official update: earthquake in Tokyo has been contained, but recovery efforts continue.",1
Conspiracy theory: The wildfire in Sydney was simulated using CGI.,0
UNBELIEVABLE: Government secret weapon caused the wildfire in New York!,0
Local reports claim a giant sea monster caused the government hoax in New York!,0
"Official update: landslide in Texas has been contained, but recovery efforts continue.",1
Alert! Zombie outbreak reported after the alien invasion in Tokyo. Spread this!,0
UNBELIEVABLE: Government secret weapon caused the monster attack in Paris!,0
Casualties feared after a major tornado occurred in Texas early this morning.,1
Alert! Zombie outbreak reported after the meteor strike in Tokyo. Spread this!,0
Search and rescue teams dispatched to London following a sudden wildfire.,1
Breaking: flood has caused widespread damage in Sydney. Evacuation orders in place.,1
"Don't trust the news! There was no zombie virus in Manila, it's all a hoax by the media.",0
Local reports claim a giant sea monster caused the zombie virus in Texas!,0
UNBELIEVABLE: Government secret weapon caused the tornado in London!,0
Casualties feared after a major tornado occurred in Beijing early this morning.,1
Meteorological department issues warning for explosion in Manila and surrounding areas.,1
Local reports claim a giant sea monster caused the meteor strike in Texas!,0
Warning: wildfire in Texas will destroy the entire continent by tomorrow! Run!,0
"Don't trust the news! There was no wildfire in California, it's all a hoax by the media.",0
UNBELIEVABLE: Government secret weapon caused the meteor strike in Manila!,0
URGENT: Drinking bleach cures any radiation from the meteor strike in Manila!,0
Conspiracy theory: The tornado in California was simulated using CGI.,0
Officials confirm at least 62 injured after hurricane struck London last night.,1
Casualties feared after a major explosion occurred in Manila early this morning.,1
Rumor says the zombie virus in Sydney was staged by actors to control the population.,0
SHOCKING video shows alien invasion in Texas was actually caused by aliens! Click here to watch.,0
Breaking: wildfire has caused widespread damage in New York. Evacuation orders in place.,1
"Don't trust the news! There was no hurricane in Florida, it's all a hoax by the media.",0
Warning: monster attack in London will destroy the entire continent by tomorrow! Run!,0
Rumor says the wildfire in California was staged by actors to control the population.,0
Leaked documents show that the meteor strike in Jakarta was predicted in a cartoon 10 years ago.,0
Conspiracy theory: The explosion in Florida was simulated using CGI.,0
Power outages and transport disruptions reported in Beijing due to ongoing hurricane.,1
"Don't trust the news! There was no tornado in Jakarta, it's all a hoax by the media.",0
Power outages and transport disruptions reported in Tokyo due to ongoing hurricane.,1
Conspiracy theory: The flood in Florida was simulated using CGI.,0
Breaking: explosion has caused widespread damage in Paris. Evacuation orders in place.,1
Meteorological department issues warning for wildfire in Tokyo and surrounding areas.,1
Officials confirm at least 34 injured after explosion struck Manila last night.,1
A magnitude 8.3 earthquake hit Tokyo today. Local authorities advise caution.,1
Warning: flood in London will destroy the entire continent by tomorrow! Run!,0
Casualties feared after a major flood occurred in Sydney early this morning.,1
URGENT: Drinking bleach cures any radiation from the flood in Tokyo!,0
Casualties feared after a major tornado occurred in Texas early this morning.,1
Severe tornado reported in Paris. Emergency services are on the scene.,1
Casualties feared after a major cyclone occurred in Tokyo early this morning.,1
URGENT: Drinking bleach cures any radiation from the zombie virus in Tokyo!,0
UNBELIEVABLE: Government secret weapon caused the wildfire in Tokyo!,0
Severe cyclone reported in Manila. Emergency services are on the scene.,1
Conspiracy theory: The landslide in Florida was simulated using CGI.,0
"Don't trust the news! There was no alien invasion in Beijing, it's all a hoax by the media.",0
Casualties feared after a major hurricane occurred in Manila early this morning.,1
Meteorological department issues warning for landslide in New York and surrounding areas.,1
Local reports claim a giant sea monster caused the zombie virus in Tokyo!,0
Alert! Zombie outbreak reported after the wildfire in Tokyo. Spread this!,0
Breaking: flood has caused widespread damage in Texas. Evacuation orders in place.,1
Rumor says the government hoax in Beijing was staged by actors to control the population.,0
Local reports claim a giant sea monster caused the monster attack in New York!,0
Conspiracy theory: The cyclone in Beijing was simulated using CGI.,0
